1949,select * from zoo2MainSpecz where dr8objid = #
2019-11-01 16:30:00,1
2019-11-01 22:01:00,1
2019-11-01 22:25:00,1
2019-11-02 00:29:00,1
2019-11-02 13:17:00,1
2019-11-05 00:41:00,1
2019-11-07 08:27:00,1
2019-11-11 22:36:00,1
2019-11-12 22:02:00,1
2019-11-13 22:30:00,1
2019-11-14 13:26:00,1
2019-11-14 20:25:00,1
2019-11-15 01:31:00,1
2019-11-15 01:34:00,1
2019-11-15 22:39:00,1
2019-11-16 11:10:00,1
2019-11-18 20:51:00,1
2019-11-19 08:13:00,2
2019-11-19 08:14:00,1
2019-11-19 21:24:00,1
2019-11-19 21:49:00,1
2019-11-19 23:03:00,1
2019-11-20 08:21:00,1
2019-11-20 22:22:00,1
2019-11-21 06:49:00,1
2019-11-21 07:50:00,1
2019-11-21 07:51:00,1
2019-11-21 19:51:00,1
2019-11-21 19:54:00,1
2019-11-23 00:00:00,1
2019-11-23 00:32:00,1
2019-11-23 06:04:00,2
2019-11-23 06:07:00,1
2019-11-23 06:08:00,1
2019-11-23 16:57:00,1
2019-11-23 17:53:00,1
2019-11-24 08:24:00,2
2019-11-25 08:14:00,1
2019-11-25 08:15:00,1
2019-11-25 08:16:00,1
2019-11-26 11:57:00,2
2019-11-27 10:35:00,1
2019-11-27 20:57:00,1
2019-11-28 00:21:00,1
2019-11-28 00:36:00,1
2019-11-28 00:39:00,1
2019-11-28 01:05:00,1
2019-11-28 01:36:00,1
2019-11-28 02:04:00,1
2019-11-28 02:25:00,1
2019-11-28 02:26:00,1
2019-11-28 02:27:00,1
2019-11-28 03:29:00,1
2019-11-28 06:05:00,1
2019-11-28 06:14:00,1
2019-11-28 06:28:00,1
2019-11-28 06:35:00,1
2019-11-28 07:49:00,1
2019-11-28 07:53:00,1
2019-11-28 07:54:00,1
2019-11-28 08:07:00,1
2019-11-28 08:11:00,1
2019-11-28 08:51:00,1
2019-11-28 09:00:00,1
2019-11-28 09:19:00,1
2019-11-28 09:32:00,1
2019-11-28 09:43:00,1
2019-11-28 10:23:00,1
2019-11-28 10:32:00,1
2019-11-28 10:34:00,1
2019-11-28 11:05:00,1
2019-11-28 12:10:00,1
2019-11-28 12:15:00,1
2019-11-28 12:25:00,1
2019-11-28 12:32:00,1
2019-11-28 12:50:00,1
2019-11-28 17:07:00,1
2019-11-28 18:00:00,1
2019-11-28 19:03:00,1
2019-11-28 20:46:00,1
2019-11-28 21:28:00,1
2019-11-28 22:23:00,1
2019-11-30 03:18:00,1
2019-11-30 18:25:00,2
2019-11-30 22:00:00,1
2019-11-30 22:01:00,2
2019-11-30 22:02:00,1
2019-12-01 00:19:00,1
2019-12-01 00:20:00,6
2019-12-01 00:21:00,13
2019-12-01 15:58:00,1
2019-12-02 12:34:00,1
2019-12-02 15:10:00,1
2019-12-02 17:26:00,1
2019-12-03 04:25:00,1
2019-12-03 08:09:00,1
2019-12-03 12:32:00,1
2019-12-03 17:17:00,1
2019-12-03 20:24:00,1
2019-12-03 20:26:00,1
2019-12-04 00:44:00,1
2019-12-04 02:14:00,1
2019-12-04 11:14:00,1
2019-12-05 03:06:00,1
2019-12-05 03:27:00,1
2019-12-05 06:08:00,1
2019-12-05 08:09:00,1
2019-12-05 09:47:00,1
2019-12-05 10:00:00,1
2019-12-05 10:28:00,1
2019-12-05 17:54:00,1
2019-12-05 20:37:00,1
2019-12-05 23:14:00,1
2019-12-06 02:14:00,1
2019-12-06 07:37:00,1
2019-12-06 08:53:00,1
2019-12-06 10:12:00,1
2019-12-06 11:59:00,1
2019-12-06 13:15:00,1
2019-12-06 13:28:00,1
2019-12-06 15:01:00,1
2019-12-06 15:10:00,1
2019-12-06 15:44:00,1
2019-12-06 16:48:00,1
2019-12-06 19:21:00,1
2019-12-06 23:51:00,1
2019-12-07 00:04:00,1
2019-12-07 01:19:00,1
2019-12-07 08:39:00,1
2019-12-07 15:52:00,1
2019-12-07 15:55:00,1
2019-12-07 21:23:00,1
2019-12-08 01:33:00,1
2019-12-08 10:27:00,1
2019-12-08 15:33:00,1
2019-12-08 17:33:00,1
2019-12-08 19:25:00,1
2019-12-08 20:26:00,1
2019-12-09 03:03:00,1
