733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-10-16 06:36:00,1
2019-10-16 06:37:00,1
2019-10-16 06:41:00,1
2019-10-16 06:43:00,3
2019-10-16 06:44:00,1
2019-10-16 06:45:00,1
2019-10-16 07:28:00,1
2019-10-16 07:30:00,1
2019-10-17 22:29:00,1
2019-10-17 22:34:00,1
2019-10-18 20:05:00,1
2019-10-18 20:13:00,1
2019-10-18 20:15:00,1
2019-10-18 20:49:00,1
2019-10-18 20:57:00,1
2019-10-20 08:50:00,1
2019-10-20 08:51:00,1
2019-10-20 21:50:00,1
2019-10-21 07:30:00,1
2019-10-21 09:45:00,1
2019-10-21 09:49:00,2
2019-10-21 16:13:00,1
2019-10-21 17:00:00,1
2019-10-29 17:30:00,1
2019-10-29 17:55:00,1
2019-10-29 17:56:00,1
2019-10-29 18:18:00,1
2019-10-29 18:21:00,1
2019-10-29 18:23:00,1
2019-10-29 21:25:00,1
2019-10-29 21:34:00,1
2019-10-29 21:42:00,1
2019-10-29 21:44:00,1
2019-10-29 21:47:00,1
2019-10-29 21:48:00,1
2019-10-29 21:50:00,1
2019-10-29 21:56:00,1
2019-10-29 23:18:00,1
2019-10-30 19:01:00,1
2019-10-30 19:30:00,1
2019-10-30 21:08:00,1
2019-10-30 21:15:00,1
2019-10-30 21:25:00,1
2019-10-30 21:40:00,1
2019-10-30 21:51:00,1
2019-10-30 22:00:00,1
2019-10-30 22:35:00,1
2019-10-30 22:39:00,1
2019-10-30 22:43:00,1
2019-10-30 23:32:00,1
2019-10-31 20:08:00,1
2019-10-31 20:10:00,1
2019-10-31 21:04:00,1
2019-10-31 21:06:00,1
2019-10-31 21:07:00,2
2019-10-31 22:57:00,1
2019-11-01 09:40:00,1
2019-11-04 23:18:00,1
2019-11-05 19:15:00,1
2019-11-08 18:19:00,1
2019-11-08 18:22:00,1
2019-11-12 09:09:00,1
2019-11-12 13:16:00,1
2019-11-12 14:07:00,1
2019-11-12 14:08:00,1
2019-11-13 00:25:00,1
2019-11-20 20:36:00,1
2019-11-21 14:29:00,1
2019-11-26 22:50:00,1
2019-11-26 22:59:00,1
2019-11-26 23:00:00,1
2019-11-26 23:03:00,1
2019-11-26 23:19:00,1
2019-11-26 23:20:00,1
2019-11-26 23:28:00,1
2019-11-26 23:55:00,1
2019-11-26 23:59:00,1
2019-11-27 00:02:00,1
2019-11-27 00:14:00,1
2019-11-27 00:20:00,1
2019-11-27 00:35:00,1
2019-11-27 13:58:00,1
2019-11-27 19:11:00,1
2019-11-27 19:52:00,1
2019-11-27 19:58:00,1
2019-11-27 20:02:00,1
2019-12-02 18:27:00,1
2019-12-02 18:31:00,1
2019-12-02 22:22:00,1
2019-12-02 22:26:00,1
2019-12-02 23:11:00,1
2019-12-02 23:39:00,1
2019-12-02 23:48:00,1
2019-12-03 01:04:00,1
2019-12-03 01:18:00,1
2019-12-03 02:03:00,1
2019-12-03 02:13:00,1
2019-12-03 02:19:00,1
2019-12-03 02:41:00,1
2019-12-03 02:56:00,1
2019-12-03 03:01:00,1
2019-12-03 03:24:00,1
2019-12-03 10:22:00,1
2019-12-03 10:33:00,1
2019-12-03 10:38:00,1
2019-12-03 10:49:00,1
2019-12-03 11:09:00,1
2019-12-03 11:17:00,1
2019-12-03 11:19:00,1
2019-12-10 01:34:00,1
2019-12-10 01:37:00,1
2019-12-10 01:42:00,1
2019-12-10 01:59:00,1
2019-12-22 03:47:00,1
2019-12-23 00:52:00,1
2019-12-23 00:56:00,1
2019-12-26 03:43:00,1
