14484,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-07-29 12:16:00,3
2019-07-29 12:17:00,6
2019-07-29 12:18:00,12
2019-07-29 12:20:00,3
2019-07-29 12:22:00,3
2019-07-29 12:23:00,1
2019-07-29 12:24:00,52
2019-07-29 12:25:00,22
2019-07-29 12:26:00,3
2019-07-29 12:27:00,6
2019-07-29 12:28:00,11
2019-07-29 12:30:00,3
2019-07-29 12:32:00,3
2019-07-29 12:33:00,1
2019-07-29 12:34:00,50
2019-07-29 12:35:00,22
2019-07-29 12:36:00,3
2019-07-29 12:37:00,6
2019-07-29 12:38:00,11
2019-07-29 12:40:00,3
2019-07-29 12:42:00,3
2019-07-29 12:43:00,1
2019-07-29 12:44:00,50
2019-07-29 12:45:00,22
2019-07-29 12:46:00,3
2019-07-29 12:47:00,6
2019-07-29 12:48:00,11
2019-07-29 12:50:00,3
2019-07-29 12:52:00,3
2019-07-29 12:53:00,1
2019-07-29 12:54:00,51
2019-07-29 12:55:00,22
2019-07-29 12:56:00,3
2019-07-29 12:57:00,6
2019-07-29 12:58:00,11
2019-07-29 13:00:00,3
2019-07-29 13:02:00,3
2019-07-29 13:03:00,1
2019-07-29 13:04:00,50
2019-07-29 13:05:00,22
2019-07-29 13:06:00,3
2019-07-29 13:07:00,6
2019-07-29 13:08:00,11
2019-07-29 13:10:00,3
2019-07-29 13:12:00,3
2019-07-29 13:13:00,1
2019-07-29 13:14:00,50
2019-07-29 13:15:00,22
2019-07-29 13:16:00,3
2019-07-29 13:17:00,6
2019-07-29 13:18:00,11
2019-07-29 13:20:00,3
2019-07-29 13:22:00,3
2019-07-29 13:23:00,1
2019-07-29 13:24:00,50
2019-07-29 13:25:00,22
2019-07-29 13:26:00,3
2019-07-29 13:27:00,6
2019-07-29 13:28:00,11
2019-07-29 13:30:00,3
2019-07-29 13:32:00,3
2019-07-29 13:33:00,1
2019-07-29 13:34:00,51
2019-07-29 13:35:00,22
2019-07-29 13:36:00,3
2019-07-29 13:37:00,6
2019-07-29 13:38:00,11
2019-07-29 13:40:00,3
2019-07-29 13:42:00,3
2019-07-29 13:43:00,1
2019-07-29 13:44:00,54
2019-07-29 13:45:00,22
2019-07-29 13:46:00,3
2019-07-29 13:47:00,6
2019-07-29 13:48:00,11
2019-07-29 13:50:00,3
2019-07-29 13:52:00,3
2019-07-29 13:53:00,1
2019-07-29 13:54:00,50
2019-07-29 13:55:00,22
2019-07-29 13:56:00,3
2019-07-29 13:57:00,6
2019-07-29 13:58:00,11
2019-07-29 14:00:00,3
2019-07-29 14:02:00,3
2019-07-29 14:03:00,1
2019-07-29 14:04:00,50
2019-07-29 14:05:00,22
2019-07-29 14:06:00,3
2019-07-29 14:07:00,6
2019-07-29 14:08:00,11
2019-07-29 14:10:00,3
2019-07-29 14:12:00,3
2019-07-29 14:13:00,1
2019-07-29 14:14:00,50
2019-07-29 14:15:00,22
2019-07-29 14:16:00,3
2019-07-29 14:17:00,6
2019-07-29 14:18:00,11
2019-07-29 14:20:00,3
2019-07-29 14:22:00,3
2019-07-29 14:23:00,1
2019-07-29 14:24:00,50
2019-07-29 14:25:00,22
2019-07-29 14:26:00,3
2019-07-29 14:27:00,6
2019-07-29 14:28:00,11
2019-07-29 14:30:00,3
2019-07-29 14:32:00,3
2019-07-29 14:33:00,1
2019-07-29 14:34:00,53
2019-07-29 14:35:00,22
2019-07-29 14:36:00,3
2019-07-29 14:37:00,6
2019-07-29 14:38:00,11
2019-07-29 14:40:00,3
2019-07-29 14:42:00,3
2019-07-29 14:43:00,1
2019-07-29 14:44:00,49
2019-07-29 14:45:00,25
2019-07-29 14:46:00,3
2019-07-29 14:47:00,6
2019-07-29 14:48:00,11
2019-07-29 14:50:00,3
2019-07-29 14:52:00,3
2019-07-29 14:53:00,1
2019-07-29 14:54:00,51
2019-07-29 14:55:00,25
2019-07-29 14:56:00,3
2019-07-29 14:57:00,6
2019-07-29 14:58:00,11
2019-07-29 15:00:00,3
2019-07-29 15:02:00,3
2019-07-29 15:03:00,1
2019-07-29 15:04:00,48
2019-07-29 15:05:00,25
2019-07-29 15:06:00,3
2019-07-29 15:07:00,6
2019-07-29 15:08:00,11
2019-07-29 15:10:00,3
2019-07-29 15:12:00,3
2019-07-29 15:13:00,1
2019-07-29 15:14:00,48
2019-07-29 15:15:00,25
2019-07-29 15:16:00,3
2019-07-29 15:17:00,7
2019-07-29 15:18:00,11
2019-07-29 15:20:00,3
2019-07-29 15:22:00,3
2019-07-29 15:23:00,1
2019-07-29 15:24:00,47
2019-07-29 15:25:00,25
2019-07-29 15:26:00,1
2019-07-29 15:27:00,8
2019-07-29 15:28:00,11
2019-07-29 15:30:00,3
2019-07-29 15:32:00,3
2019-07-29 15:33:00,1
2019-07-29 15:34:00,51
2019-07-29 15:35:00,25
2019-07-29 15:36:00,3
2019-07-29 15:37:00,7
2019-07-29 15:38:00,11
2019-07-29 15:40:00,3
2019-07-29 15:42:00,3
2019-07-29 15:43:00,1
2019-07-29 15:44:00,49
2019-07-29 15:45:00,25
2019-07-29 15:46:00,1
2019-07-29 15:47:00,8
2019-07-29 15:48:00,11
2019-07-29 15:50:00,3
2019-07-29 15:52:00,3
2019-07-29 15:53:00,1
2019-07-29 15:54:00,48
2019-07-29 15:55:00,25
2019-07-29 15:56:00,1
2019-07-29 15:57:00,8
2019-07-29 15:58:00,11
2019-07-29 16:00:00,3
2019-07-29 16:02:00,3
2019-07-29 16:03:00,1
2019-07-29 16:04:00,51
2019-07-29 16:05:00,25
2019-07-29 16:06:00,1
2019-07-29 16:07:00,8
2019-07-29 16:08:00,11
2019-07-29 16:10:00,3
2019-07-29 16:12:00,3
2019-07-29 16:13:00,1
2019-07-29 16:14:00,47
2019-07-29 16:15:00,25
2019-07-29 16:16:00,1
2019-07-29 16:17:00,8
2019-07-29 16:18:00,11
2019-07-29 16:20:00,3
2019-07-29 16:22:00,3
2019-07-29 16:23:00,1
2019-07-29 16:24:00,51
2019-07-29 16:25:00,25
2019-07-29 16:26:00,1
2019-07-29 16:27:00,8
2019-07-29 16:28:00,11
2019-07-29 16:30:00,3
